name,calories,proteins,fat,carbohydrate
Abon,280,9.2,28.4,0
Abon haruwan,513,23.7,37,21.3
Agar-agar,0,0,0.2,0
Akar tonjong segar,45,1.1,0.4,10.8
Aletoge segar,37,4.4,0.5,3.8
Alpukat segar,85,0.9,6.5,7.7
Ampas kacang hijau,96,3.7,0.6,19.1
Ampas Tahu,414,26.6,18.3,41.3
Ampas tahu kukus,75,4.1,2.1,10.7
Ampas tahu mentah,67,5,2.1,8.1
Anak sapi daging gemuk segar,184,18.8,14,0
Anak sapi daging kurus segar,174,19.6,10,0
Anak sapi daging sedang segar,190,19.1,12,0
Andaliman segar,99,4.6,1,18
Andewi,25,1.6,0.2,5.3
Anggur hutan segar,30,0.5,0.2,6.8
Angsa,354,16.4,31.5,0
Anyang sayur,126,3.4,7.9,10.3
Apel,58,0.3,0.4,14.9
Apel malang segar,57,0.5,0.4,12.8
Arbei,37,0.8,0.5,8.3
Ares sayur,113,0.9,7.2,11.2
Arrowroot segar,102,1,0.2,24.1
Arwan sirsir,277,2.4,25,10.7
Asam kandis segar,75,0.2,1.1,16.1
Asam masak di pohon,239,2.8,0.6,62.5
Asam payak segar,135,0.8,0.4,32.1
Asan kandis kering,261,0.9,1.6,63.3
Asinan Bogor sayuran,98,3.9,2.6,14.8
Ayam,302,18.2,25,0
Ayam  goreng Kentuckysayap,297,35.9,15.2,1.6
Ayam ampela goreng,270,32.3,11.2,9.9
Ayam dideh/darah segar,75,13.8,1.9,0.7
Ayam goreng church texa sayap,295,34,16,1.5
Ayam goreng church texas dada,338,35.2,20.6,0.4
Ayam goreng kalasan paha,275,37.4,12.2,1.3
Ayam goreng kentucky dada,298,34.2,16.8,0.1
Ayam goreng Kentucky paha,286,32.1,16.1,1.1
Ayam goreng mbok berek dada,295,39.2,13.6,1
Ayam goreng paha,287,31,15.7,1.7
Ayam goreng pasundan dada,246,37.9,9,0.7
Ayam goreng pasundan paha,245,33.1,11.4,0.3
Ayam goreng pioneer dada,295,37.4,14.7,0.6
Ayam goreng sukabumi dada,244,36.7,9.2,1
Ayam goreng sukabumi paha,283,35.7,14.3,0.5
Ayam hati segar,261,27.4,16.1,1.6
Ayam taliwang masakan,264,18.2,20.1,2.7
Ayam usus goreng,473,45.2,26.3,13.9
Babat,113,17.6,4.2,0
Babi daging gemuk segar,453,11.9,45,0
Babi daging kurus segar,371,14.1,35,0
Babi ginjal segar,110,16.3,4.6,0.8
Babi hati segar,129,19.7,4.8,1.7
Babi hutan masak rica masakan,491,24.6,16.3,0.2
Bacang,102.9,3.3,2.7,16.3
Bagea kelapa asin,450,3.2,13.9,78.1
